date,region_code,region,cases,deceased,tests,positive_tests,test_positivity,active_hospital_admissions,active_icu,population,acum14_cases,acum14_cases_per_100k,acum14_positive_tests,acum14_positive_tests_per_100k,acum7_positive_tests,acum7_positive_tests_per_100k,test_positivity_rate7,test_positivity_rate14,test7_av,acum14_deceased_per_1M,hosp14_average,aver14_positive_tests
2020-10-22,4,Formentera,,,,2,,,,12111,,,3,"24,77",3,"24,77","4,48%",,,,,
2020-10-23,0,Illes_Balears,0,0,3944,201,"5,10%",147,41,1149460,1870,"162,69",2002,"174,17",1178,"102,48","5,86%","5,40%",2872,"31,32","218,4285714",143
2020-10-23,1,Mallorca,,,,160,,105,34,896038,,,1518,"169,41",884,"98,66","5,72%","5,31%",,,"157,2142857","108,4285714"
2020-10-23,2,Menorca,,,,10,,3,4,93397,,,109,"116,71",65,"69,60","4,20%","4,19%",,,"6,285714286","7,785714286"
2020-10-23,3,Eivissa,,,,25,,39,3,147914,,,286,"193,36",170,"114,93","10,47%","9,31%",,,55,"20,42857143"
2020-10-23,4,Formentera,,,,0,,,,12111,,,3,"24,77",3,"24,77","3,95%",,,,,
2020-10-24,0,Illes_Balears,0,0,2738,164,"5,99%",158,44,1149460,1870,"162,69",2061,"179,30",1224,"106,48","6,07%","5,52%",2883,"31,32","222,9285714","147,2142857"
2020-10-24,1,Mallorca,,,,136,,115,37,896038,,,1561,"174,21",919,"102,56","5,94%","5,44%",,,"159,5","111,5"
2020-10-24,2,Menorca,,,,10,,3,4,93397,,,112,"119,92",69,"73,88","4,30%","4,14%",,,"6,428571429",8
2020-10-24,3,Eivissa,,,,17,,40,3,147914,,,301,"203,50",180,"121,69","10,96%","9,38%",,,"57,07142857","21,5"
2020-10-24,4,Formentera,,,,0,,,,12111,,,3,"24,77",3,"24,77","5,00%",,,,,
2020-10-25,0,Illes_Balears,587,5,1643,122,"7,43%",158,44,1149460,2457,"213,75",2066,"179,74",1266,"110,14","6,20%","5,52%",2917,"35,67","228,5714286","147,5714286"
2020-10-25,1,Mallorca,,,,114,,120,36,896038,,,1588,"177,22",957,"106,80","6,12%","5,48%",,,"162,2142857","113,4285714"
2020-10-25,2,Menorca,,,,1,,1,4,93397,,,107,"114,56",70,"74,95","4,23%","3,94%",,,"6,857142857","7,642857143"
2020-10-25,3,Eivissa,,,,1,,37,4,147914,,,283,"191,33",181,"122,37","10,91%","9,65%",,,"59,57142857","20,21428571"
2020-10-25,4,Formentera,,,,0,,,,12111,,,3,"24,77",3,"24,77","4,92%",,,,,
2020-10-26,0,Illes_Balears,173,2,2733,224,"8,20%",155,44,1149460,2151,"187,13",2223,"193,40",1344,"116,92","6,52%","5,72%",2947,"37,41","233,7142857","158,7857143"
2020-10-26,1,Mallorca,,,,149,,117,36,896038,,,1675,"186,93",1033,"115,29","6,42%","5,58%",,,"164,5714286","119,6428571"
2020-10-26,2,Menorca,,,,6,,2,4,93397,,,109,"116,71",68,"72,81","4,08%","3,93%",,,"7,214285714","7,785714286"
2020-10-26,3,Eivissa,,,,64,,36,5,147914,,,347,"234,60",201,"135,89","12,86%","10,81%",,,"61,92857143","24,78571429"
2020-10-26,4,Formentera,,,,1,,,,12111,,,4,"33,03",3,"24,77","5,36%",,,,,
2020-10-27,0,Illes_Balears,246,0,3646,264,"7,24%",149,49,1149460,2293,"199,48",2359,"205,23",1404,"122,14","6,82%","5,95%",2941,"33,06","238,5","168,5"
2020-10-27,1,Mallorca,,,,198,,110,39,896038,,,1775,"198,09",1070,"119,41","6,71%","5,78%",,,"167,0714286","126,7857143"
2020-10-27,2,Menorca,,,,12,,1,5,93397,,,116,"124,20",69,"73,88","4,11%","3,97%",,,"7,642857143","8,285714286"
2020-10-27,3,Eivissa,,,,45,,38,5,147914,,,369,"249,47",224,"151,44","13,15%","11,12%",,,"63,78571429","26,35714286"
2020-10-27,4,Formentera,,,,2,,,,12111,,,6,"49,54",5,"41,28","6,41%",,,,,
2020-10-28,0,Illes_Balears,224,0,3241,251,"7,74%",159,52,1149460,2378,"206,88",2460,"214,01",1466,"127,54","7,03%","6,11%",2978,"29,58","243,3571429","175,7142857"
2020-10-28,1,Mallorca,,,,166,,113,40,896038,,,1828,"204,01",1108,"123,66","6,84%","5,85%",,,"170,5","130,5714286"
2020-10-28,2,Menorca,,,,5,,1,5,93397,,,117,"125,27",52,"55,68","3,24%","3,98%",,,8,"8,357142857"
2020-10-28,3,Eivissa,,,,65,,45,7,147914,,,407,"275,16",255,"172,40","14,43%","12,06%",,,"64,85714286","29,07142857"
2020-10-28,4,Formentera,,,,0,,,,12111,,,6,"49,54",5,"41,28","7,46%",,,,,
2020-10-29,0,Illes_Balears,280,6,4212,253,"6,01%",147,50,1149460,2533,"220,36",2615,"227,50",1479,"128,67","6,68%","6,29%",3165,"33,06","248,5","186,7857143"
2020-10-29,1,Mallorca,,,,180,,100,39,896038,,,1936,"216,06",1103,"123,10","6,49%","6,07%",,,"174,3571429","138,2857143"
2020-10-29,2,Menorca,,,,6,,2,5,93397,,,118,"126,34",50,"53,53","3,07%","3,91%",,,"8,357142857","8,428571429"
2020-10-29,3,Eivissa,,,,49,,45,6,147914,,,439,"296,79",266,"179,83","12,87%","11,89%",,,"65,78571429","31,35714286"
2020-10-29,4,Formentera,,,,0,,,,12111,,,6,"49,54",3,"24,77","3,75%",,,,,
2020-10-30,0,Illes_Balears,0,0,3903,237,"6,07%",152,49,1149460,2533,"220,36",2693,"234,28",1515,"131,80","6,85%","6,38%",3159,"33,06","252,5714286","192,3571429"
2020-10-30,1,Mallorca,,,,165,,100,39,896038,,,1992,"222,31",1108,"123,66","6,68%","6,22%",,,"177,7857143","142,2857143"
2020-10-30,2,Menorca,,,,5,,1,5,93397,,,110,"117,78",45,"48,18","2,94%","3,58%",,,"8,857142857","7,857142857"
2020-10-30,3,Eivissa,,,,52,,51,5,147914,,,463,"313,02",293,"198,09","12,22%","11,51%",,,"65,92857143","33,07142857"
2020-10-30,4,Formentera,,,,0,,,,12111,,,6,"49,54",3,"24,77","3,70%",,,,,
2020-10-31,0,Illes_Balears,431,0,3177,177,"5,57%",166,48,1149460,2964,"257,86",2752,"239,42",1528,"132,93","6,77%","6,44%",3222,"33,06","256,5","196,5714286"
2020-10-31,1,Mallorca,,,,137,,108,38,896038,,,2028,"226,33",1109,"123,77","6,62%","6,29%",,,"181,5714286","144,8571429"
2020-10-31,2,Menorca,,,,5,,1,5,93397,,,109,"116,71",40,"42,83","2,70%","3,53%",,,"9,428571429","7,785714286"
2020-10-31,3,Eivissa,,,,22,,57,5,147914,,,478,"323,16",298,"201,47","11,55%","11,32%",,,"65,5","34,14285714"
2020-10-31,4,Formentera,,,,0,,,,12111,,,6,"49,54",3,"24,77","3,61%",,,,,
2020-11-01,0,Illes_Balears,125,0,2346,133,"5,67%",160,52,1149460,2717,"236,37",2805,"244,03",1539,"133,89","6,62%","6,42%",3323,"33,06","260,8571429","200,3571429"
2020-11-01,1,Mallorca,,,,122,,108,42,896038,,,2074,"231,46",1117,"124,66","6,40%","6,27%",,,"185,3571429","148,1428571"
2020-11-01,2,Menorca,,,,0,,1,5,93397,,,109,"116,71",39,"41,76","2,68%","3,51%",,,10,"7,785714286"
2020-11-01,3,Eivissa,,,,4,,51,5,147914,,,482,"325,87",301,"203,50","11,63%","11,35%",,,"65,5","34,42857143"
2020-11-01,4,Formentera,,,,0,,,,12111,,,6,"49,54",3,"24,77","3,66%",,,,,
2020-11-02,0,Illes_Balears,228,1,3071,198,"6,45%",165,50,1149460,2824,"245,68",2857,"248,55",1513,"131,63","6,41%","6,46%",3371,"29,58","266,6428571","204,0714286"
2020-11-02,1,Mallorca,,,,134,,112,42,896038,,,2135,"238,27",1102,"122,99","6,23%","6,32%",,,"190,5714286","152,5"
2020-11-02,2,Menorca,,,,8,,3,3,93397,,,109,"116,71",41,"43,90","2,92%","3,55%",,,11,"7,785714286"
2020-11-02,3,Eivissa,,,,40,,50,5,147914,,,478,"323,16",277,"187,27","10,32%","11,25%",,,"65,07142857","34,14285714"
2020-11-02,4,Formentera,,,,0,,,,12111,,,5,"41,28",2,"16,51","2,35%",,,,,
2020-11-03,0,Illes_Balears,213,1,3965,278,"7,01%",193,49,1149460,2873,"249,94",2931,"254,99",1527,"132,84","6,39%","6,59%",3416,"26,97","269,2857143","209,3571429"
2020-11-03,1,Mallorca,,,,187,,129,41,896038,,,2161,"241,17",1091,"121,76","6,13%","6,41%",,,"193,5","154,3571429"
2020-11-03,2,Menorca,,,,12,,3,3,93397,,,110,"117,78",41,"43,90","2,98%","3,60%",,,"12,28571429","7,857142857"
2020-11-03,3,Eivissa,,,,59,,61,5,147914,,,515,"348,18",291,"196,74","10,32%","11,39%",,,"63,5","36,78571429"
2020-11-03,4,Formentera,,,,1,,,,12111,,,6,"49,54",1,"8,26","1,39%",,,,,
2020-11-04,0,Illes_Balears,262,1,3860,226,"5,85%",206,50,1149460,2952,"256,82",2968,"258,21",1502,"130,67","6,12%","6,54%",3505,"20,88","270,8571429",212
2020-11-04,1,Mallorca,,,,174,,143,42,896038,,,2207,"246,31",1099,"122,65","6,01%","6,40%",,,"195,1428571","157,6428571"
2020-11-04,2,Menorca,,,,9,,3,3,93397,,,97,"103,86",45,"48,18","3,20%","3,22%",,,"13,57142857","6,928571429"
2020-11-04,3,Eivissa,,,,27,,60,5,147914,,,508,"343,44",253,"171,05","8,70%","10,86%",,,"62,14285714","36,28571429"
2020-11-04,4,Formentera,,,,1,,,,12111,,,7,"57,80",2,"16,51","2,33%",,,,,
2020-11-05,0,Illes_Balears,253,4,3631,279,"7,68%",204,48,1149460,3022,"262,91",3007,"261,60",1528,"132,93","6,38%","6,52%",3422,"17,40","272,4285714","214,7857143"
2020-11-05,1,Mallorca,,,,236,,137,40,896038,,,2258,"252,00",1155,"128,90","6,44%","6,46%",,,"197,4285714","161,2857143"
2020-11-05,2,Menorca,,,,4,,4,3,93397,,,93,"99,57",43,"46,04","3,26%","3,16%",,,"14,71428571","6,642857143"
2020-11-05,3,Eivissa,,,,33,,63,5,147914,,,503,"340,06",237,"160,23","8,22%","10,16%",,,"60,28571429","35,92857143"
2020-11-05,4,Formentera,,,,0,,,,12111,,,5,"41,28",2,"16,51","2,78%",,,,,
2020-11-06,0,Illes_Balears,284,1,3826,241,"6,30%",208,49,1149460,3306,"287,61",3047,"265,08",1532,"133,28","6,42%","6,63%",3411,"18,27","273,7142857","217,6428571"
2020-11-06,1,Mallorca,,,,178,,137,41,896038,,,2276,"254,01",1168,"130,35","6,42%","6,55%",,,"199,8571429","162,5714286"
2020-11-06,2,Menorca,,,,5,,5,3,93397,,,88,"94,22",43,"46,04","3,79%","3,30%",,,"15,64285714","6,285714286"
2020-11-06,3,Eivissa,,,,40,,66,5,147914,,,518,"350,20",225,"152,12","7,89%","9,87%",,,"58,21428571",37
2020-11-06,4,Formentera,,,,0,,,,12111,,,5,"41,28",2,"16,51","2,53%",,,,,
2020-11-07,0,Illes_Balears,215,0,3584,183,"5,11%",218,47,1149460,3521,"306,32",3066,"266,73",1538,"133,80","6,33%","6,55%",3469,"18,27","274,4285714",219
2020-11-07,1,Mallorca,,,,161,,144,40,896038,,,2301,"256,80",1192,"133,03","6,37%","6,49%",,,202,"164,3571429"
2020-11-07,2,Menorca,,,,7,,6,3,93397,,,85,"91,01",45,"48,18","3,53%","3,08%",,,"16,42857143","6,071428571"
2020-11-07,3,Eivissa,,,,11,,68,4,147914,,,512,"346,15",214,"144,68","7,68%","9,54%",,,56,"36,57142857"
2020-11-07,4,Formentera,,,,0,,,,12111,,,5,"41,28",2,"16,51","2,60%",,,,,
2020-11-08,0,Illes_Balears,171,1,1677,140,"8,35%",230,51,1149460,3105,"270,13",3084,"268,30",1545,"134,41","6,54%","6,58%",3373,"14,79",275,"220,2857143"
2020-11-08,1,Mallorca,,,,127,,150,44,896038,,,2314,"258,25",1197,"133,59","6,65%","6,53%",,,"204,2857143","165,2857143"
2020-11-08,2,Menorca,,,,3,,8,3,93397,,,87,"93,15",48,"51,39","3,68%","3,15%",,,"17,07142857","6,214285714"
2020-11-08,3,Eivissa,,,,3,,72,4,147914,,,514,"347,50",213,"144,00","7,70%","9,60%",,,"53,64285714","36,71428571"
2020-11-08,4,Formentera,,,,0,,,,12111,,,5,"41,28",2,"16,51","2,60%",,,,,
2020-11-09,0,Illes_Balears,188,2,3218,201,"6,25%",216,55,1149460,3120,"271,43",3061,"266,30",1548,"134,67","6,51%","6,46%",3394,"14,79","275,5","218,6428571"
2020-11-09,1,Mallorca,,,,144,,140,46,896038,,,2309,"257,69",1207,"134,70","6,72%","6,48%",,,"206,5","164,9285714"
2020-11-09,2,Menorca,,,,10,,8,3,93397,,,91,"97,43",50,"53,53","3,62%","3,27%",,,"17,5","6,5"
2020-11-09,3,Eivissa,,,,43,,68,6,147914,,,493,"333,30",216,"146,03","7,42%","8,81%",,,"51,5","35,21428571"
2020-11-09,4,Formentera,,,,0,,,,12111,,,4,"33,03",2,"16,51","2,47%",,,,,
2020-11-10,0,Illes_Balears,243,0,3821,218,"5,71%",212,53,1149460,3117,"271,17",3015,"262,30",1488,"129,45","6,30%","6,34%",3374,"14,79","276,2142857","215,3571429"
2020-11-10,1,Mallorca,,,,168,,140,44,896038,,,2279,"254,34",1188,"132,58","6,64%","6,39%",,,"208,9285714","162,7857143"
2020-11-10,2,Menorca,,,,6,,9,3,93397,,,85,"91,01",44,"47,11","3,26%","3,12%",,,"17,71428571","6,071428571"
2020-11-10,3,Eivissa,,,,29,,63,6,147914,,,477,"322,48",186,"125,75","6,53%","8,42%",,,"49,57142857","34,07142857"
2020-11-10,4,Formentera,,,,0,,,,12111,,,2,"16,51",1,"8,26","1,37%",,,,,
2020-11-11,0,Illes_Balears,219,3,3790,200,"5,28%",225,54,1149460,3112,"270,74",2964,"257,86",1462,"127,19","6,21%","6,16%",3364,"17,40","275,5","211,7142857"
2020-11-11,1,Mallorca,,,,155,,157,44,896038,,,2268,"253,11",1169,"130,46","6,59%","6,29%",,,"210,0714286",162
2020-11-11,2,Menorca,,,,13,,8,3,93397,,,93,"99,57",48,"51,39","3,63%","3,41%",,,"17,71428571","6,642857143"
2020-11-11,3,Eivissa,,,,22,,60,7,147914,,,434,"293,41",181,"122,37","6,21%","7,45%",,,"47,71428571",31
2020-11-11,4,Formentera,,,,0,,,,12111,,,2,"16,51",0,"0,00","0,00%",,,,,
2020-11-12,0,Illes_Balears,184,6,3463,234,"6,76%",215,54,1149460,3016,"262,38",2945,"256,21",1417,"123,28","6,06%","6,22%",3340,"17,40","274,7142857","210,3571429"
2020-11-12,1,Mallorca,,,,166,,149,44,896038,,,2254,"251,55",1099,"122,65","6,30%","6,37%",,,"211,4285714",161
2020-11-12,2,Menorca,,,,13,,9,3,93397,,,100,"107,07",57,"61,03","4,14%","3,71%",,,"17,64285714","7,142857143"
2020-11-12,3,Eivissa,,,,42,,57,7,147914,,,427,"288,68",190,"128,45","6,35%","7,27%",,,"45,64285714","30,5"
2020-11-12,4,Formentera,,,,2,,,,12111,,,4,"33,03",2,"16,51","2,94%",,,,,
2020-11-13,0,Illes_Balears,216,2,3808,234,"6,14%",204,54,1149460,3232,"281,18",2942,"255,95",1410,"122,67","6,04%","6,23%",3337,"19,14","274,5714286","210,1428571"
2020-11-13,1,Mallorca,,,,184,,143,44,896038,,,2273,"253,67",1105,"123,32","6,39%","6,41%",,,"213,4285714","162,3571429"
2020-11-13,2,Menorca,,,,9,,10,3,93397,,,104,"111,35",61,"65,31","3,90%","3,86%",,,"17,42857143","7,428571429"
2020-11-13,3,Eivissa,,,,31,,51,7,147914,,,406,"274,48",181,"122,37","6,10%","6,98%",,,"43,71428571",29
2020-11-13,4,Formentera,,,,2,,,,12111,,,6,"49,54",4,"33,03","5,48%",,,,,
2020-11-14,0,Illes_Balears,196,0,3131,164,"5,24%",214,55,1149460,2997,"260,73",2929,"254,82",1391,"121,01","6,07%","6,21%",3273,"19,14","273,8571429","209,2142857"
2020-11-14,1,Mallorca,,,,139,,154,45,896038,,,2275,"253,90",1083,"120,87","6,34%","6,36%",,,"214,6428571","162,5"
2020-11-14,2,Menorca,,,,4,,11,3,93397,,,103,"110,28",58,"62,10","4,38%","3,96%",,,"17,14285714","7,357142857"
2020-11-14,3,Eivissa,,,,13,,49,7,147914,,,397,"268,40",183,"123,72","6,08%","6,85%",,,"42,07142857","28,35714286"
2020-11-14,4,Formentera,,,,0,,,,12111,,,6,"49,54",4,"33,03","5,33%",,,,,
2020-11-15,0,Illes_Balears,123,0,1821,137,"7,52%",219,54,1149460,2995,"260,56",2933,"255,16",1388,"120,75","6,02%","6,29%",3293,"19,14","273,0714286","209,5"
2020-11-15,1,Mallorca,,,,127,,158,45,896038,,,2280,"254,45",1083,"120,87","6,34%","6,50%",,,"215,8571429","162,8571429"
2020-11-15,2,Menorca,,,,1,,11,3,93397,,,104,"111,35",56,"59,96","3,75%","3,72%",,,"16,85714286","7,428571429"
2020-11-15,3,Eivissa,,,,2,,50,6,147914,,,395,"267,05",182,"123,04","6,05%","6,84%",,,"40,35714286","28,21428571"
2020-11-15,4,Formentera,,,,0,,,,12111,,,6,"49,54",4,"33,03","5,41%",,,,,
2020-11-16,0,Illes_Balears,219,6,3751,212,"5,65%",245,51,1149460,2986,"259,77",2947,"256,38",1399,"121,71","5,93%","6,22%",3369,"23,49",270,"210,5"
2020-11-16,1,Mallorca,,,,171,,184,43,896038,,,2317,"258,58",1110,"123,88","6,31%","6,51%",,,"214,9285714","165,5"
2020-11-16,2,Menorca,,,,16,,17,3,93397,,,112,"119,92",62,"66,38","3,98%","3,81%",,,"15,92857143",8
2020-11-16,3,Eivissa,,,,18,,44,5,147914,,,373,"252,17",157,"106,14","5,36%","6,38%",,,"39,14285714","26,64285714"
2020-11-16,4,Formentera,,,,0,,,,12111,,,6,"49,54",4,"33,03","5,56%",,,,,
2020-11-17,0,Illes_Balears,0,0,4461,196,"4,39%",231,48,1149460,2773,"241,24",2865,"249,25",1377,"119,80","5,68%","5,99%",3461,"22,62","267,1428571","204,6428571"
2020-11-17,1,Mallorca,,,,149,,171,40,896038,,,2279,"254,34",1091,"121,76","6,02%","6,33%",,,"214,2857143","162,7857143"
2020-11-17,2,Menorca,,,,8,,21,3,93397,,,108,"115,64",64,"68,52","3,94%","3,63%",,,"14,78571429","7,714285714"
2020-11-17,3,Eivissa,,,,32,,39,5,147914,,,346,"233,92",160,"108,17","5,21%","5,85%",,,"38,07142857","24,71428571"
2020-11-17,4,Formentera,,,,0,,,,12111,,,5,"41,28",4,"33,03","4,55%",,,,,
2020-11-18,0,Illes_Balears,376,1,3794,184,"4,85%",233,45,1149460,2887,"251,16",2823,"245,59",1361,"118,40","5,62%","5,91%",3461,"22,62","263,6428571","201,6428571"
2020-11-18,1,Mallorca,,,,148,,171,37,896038,,,2253,"251,44",1084,"120,98","5,96%","6,27%",,,"213,3571429","160,9285714"
2020-11-18,2,Menorca,,,,2,,22,2,93397,,,101,"108,14",53,"56,75","3,20%","3,39%",,,"13,64285714","7,214285714"
2020-11-18,3,Eivissa,,,,26,,40,6,147914,,,345,"233,24",164,"110,88","5,38%","5,79%",,,"36,64285714","24,64285714"
2020-11-18,4,Formentera,,,,3,,,,12111,,,7,"57,80",7,"57,80","7,69%",,,,,
2020-11-19,0,Illes_Balears,178,0,3481,171,"4,91%",225,49,1149460,2812,"244,64",2715,"236,20",1298,"112,92","5,35%","5,70%",3464,"19,14",259,"193,9285714"
2020-11-19,1,Mallorca,,,,129,,168,41,896038,,,2146,"239,50",1047,"116,85","5,71%","5,99%",,,211,"153,2857143"
2020-11-19,2,Menorca,,,,4,,21,2,93397,,,101,"108,14",44,"47,11","2,75%","3,39%",,,"12,64285714","7,214285714"
2020-11-19,3,Eivissa,,,,30,,36,6,147914,,,342,"231,22",152,"102,76","5,07%","5,71%",,,"35,35714286","24,42857143"
2020-11-19,4,Formentera,,,,1,,,,12111,,,8,"66,06",6,"49,54","6,38%",,,,,
2020-11-20,0,Illes_Balears,182,0,3865,122,"3,16%",226,49,1149460,2710,"235,76",2596,"225,85",1186,"103,18","4,88%","5,45%",3472,"18,27","254,0714286","185,4285714"
2020-11-20,1,Mallorca,,,,106,,171,41,896038,,,2074,"231,46",969,"108,14","5,19%","5,77%",,,"208,2857143","148,1428571"
2020-11-20,2,Menorca,,,,6,,19,2,93397,,,102,"109,21",41,"43,90","2,74%","3,34%",,,"11,85714286","7,285714286"
2020-11-20,3,Eivissa,,,,7,,36,6,147914,,,309,"208,91",128,"86,54","4,54%","5,34%",,,"33,92857143","22,07142857"
2020-11-20,4,Formentera,,,,0,,,,12111,,,8,"66,06",4,"33,03","4,94%",,,,,
2020-11-21,0,Illes_Balears,131,0,2869,140,"4,88%",223,52,1149460,2626,"228,46",2553,"222,10",1162,"101,09","4,83%","5,44%",3435,"18,27","248,8571429","182,3571429"
2020-11-21,1,Mallorca,,,,120,,172,42,896038,,,2033,"226,89",950,"106,02","5,20%","5,75%",,,"205,2142857","145,2142857"
2020-11-21,2,Menorca,,,,7,,17,3,93397,,,102,"109,21",44,"47,11","2,74%","3,48%",,,"11,14285714","7,285714286"
2020-11-21,3,Eivissa,,,,11,,34,7,147914,,,309,"208,91",126,"85,18","4,45%","5,29%",,,"32,5","22,07142857"
2020-11-21,4,Formentera,,,,0,,,,12111,,,8,"66,06",4,"33,03","4,71%",,,,,
2020-11-22,0,Illes_Balears,122,0,2023,131,"6,48%",237,52,1149460,2577,"224,19",2544,"221,32",1156,"100,57","4,77%","5,38%",3463,"17,40","243,4285714","181,7142857"
2020-11-22,1,Mallorca,,,,122,,184,42,896038,,,2028,"226,33",945,"105,46","5,06%","5,67%",,,"202,0714286","144,8571429"
2020-11-22,2,Menorca,,,,1,,17,3,93397,,,100,"107,07",44,"47,11","3,14%","3,45%",,,"10,42857143","7,142857143"
2020-11-22,3,Eivissa,,,,5,,36,7,147914,,,311,"210,26",129,"87,21","4,55%","5,32%",,,"30,92857143","22,21428571"
2020-11-22,4,Formentera,,,,1,,,,12111,,,9,"74,31",5,"41,28","5,56%",,,,,
2020-11-23,0,Illes_Balears,141,1,3741,160,"4,28%",224,54,1149460,2530,"220,10",2503,"217,75",1104,"96,05","4,56%","5,23%",3462,"16,53","239,1428571","178,7857143"
2020-11-23,1,Mallorca,,,,135,,175,42,896038,,,2019,"225,33",909,"101,45","4,77%","5,51%",,,"199,6428571","144,2142857"
2020-11-23,2,Menorca,,,,3,,13,4,93397,,,93,"99,57",31,"33,19","2,60%","3,39%",,,10,"6,642857143"
2020-11-23,3,Eivissa,,,,19,,36,8,147914,,,287,"194,03",130,"87,89","4,85%","5,11%",,,"29,5","20,5"
2020-11-23,4,Formentera,,,,0,,,,12111,,,9,"74,31",5,"41,28","5,68%",,,,,
2020-11-24,0,Illes_Balears,192,1,4209,165,"3,92%",221,54,1149460,2479,"215,67",2450,"213,14",1073,"93,35","4,47%","5,08%",3426,"17,40","236,5",175
2020-11-24,1,Mallorca,,,,125,,176,42,896038,,,1976,"220,53",885,"98,77","4,78%","5,39%",,,"198,6428571","141,1428571"
2020-11-24,2,Menorca,,,,13,,11,4,93397,,,100,"107,07",36,"38,55","2,25%","3,10%",,,"9,714285714","7,142857143"
2020-11-24,3,Eivissa,,,,21,,34,8,147914,,,279,"188,62",119,"80,45","4,64%","4,95%",,,"28,14285714","19,92857143"
2020-11-24,4,Formentera,,,,0,,,,12111,,,9,"74,31",5,"41,28","6,17%",,,,,
2020-11-25,0,Illes_Balears,176,2,3668,180,"4,91%",218,51,1149460,2436,"211,93",2430,"211,40",1069,"93,00","4,48%","5,05%",3408,"16,53","234,6428571","173,5714286"
2020-11-25,1,Mallorca,,,,160,,178,39,896038,,,1981,"221,08",897,"100,11","4,87%","5,41%",,,"197,7857143","141,5"
2020-11-25,2,Menorca,,,,3,,7,4,93397,,,90,"96,36",37,"39,62","2,14%","2,66%",,,"9,857142857","6,428571429"
2020-11-25,3,Eivissa,,,,9,,33,8,147914,,,266,"179,83",102,"68,96","4,27%","4,89%",,,27,19
2020-11-25,4,Formentera,,,,0,,,,12111,,,9,"74,31",2,"16,51","2,56%",,,,,
2020-11-26,0,Illes_Balears,230,0,3915,239,"6,10%",208,50,1149460,2482,"215,93",2435,"211,84",1137,"98,92","4,68%","5,02%",3470,"11,31","233,7142857","173,9285714"
2020-11-26,1,Mallorca,,,,213,,173,39,896038,,,2028,"226,33",981,"109,48","5,26%","5,48%",,,"197,5714286","144,8571429"
2020-11-26,2,Menorca,,,,11,,7,4,93397,,,88,"94,22",44,"47,11","2,26%","2,48%",,,10,"6,285714286"
2020-11-26,3,Eivissa,,,,10,,28,7,147914,,,234,"158,20",82,"55,44","3,43%","4,34%",,,"26,14285714","16,71428571"
2020-11-26,4,Formentera,,,,0,,,,12111,,,7,"57,80",1,"8,26","1,37%",,,,,
2020-11-27,0,Illes_Balears,177,5,3533,185,"5,24%",205,51,1149460,2443,"212,53",2386,"207,58",1200,"104,40","5,01%","4,94%",3423,"13,92","232,3571429","170,4285714"
2020-11-27,1,Mallorca,,,,147,,176,39,896038,,,1991,"222,20",1022,"114,06","5,65%","5,42%",,,"197,0714286","142,2142857"
2020-11-27,2,Menorca,,,,14,,6,4,93397,,,93,"99,57",52,"55,68","2,56%","2,64%",,,10,"6,642857143"
2020-11-27,3,Eivissa,,,,16,,23,8,147914,,,219,"148,06",91,"61,52","3,55%","4,06%",,,"25,28571429","15,64285714"
2020-11-27,4,Formentera,,,,0,,,,12111,,,5,"41,28",1,"8,26","1,43%",,,,,
2020-11-28,0,Illes_Balears,189,0,3656,191,"5,22%",209,50,1149460,2436,"211,93",2413,"209,92",1251,"108,83","5,06%","4,95%",3535,"13,92","232,3571429","172,3571429"
2020-11-28,1,Mallorca,,,,169,,178,38,896038,,,2021,"225,55",1071,"119,53","5,66%","5,43%",,,198,"144,3571429"
2020-11-28,2,Menorca,,,,5,,6,4,93397,,,94,"100,65",50,"53,53","2,52%","2,62%",,,10,"6,714285714"
2020-11-28,3,Eivissa,,,,13,,25,8,147914,,,219,"148,06",93,"62,87","3,68%","4,09%",,,"24,35714286","15,64285714"
2020-11-28,4,Formentera,,,,0,,,,12111,,,5,"41,28",1,"8,26","1,43%",,,,,
2020-11-29,0,Illes_Balears,150,0,1485,124,"8,35%",211,51,1149460,2463,"214,27",2400,"208,79",1244,"108,22","5,14%","4,95%",3458,"13,92","233,6428571","171,4285714"
2020-11-29,1,Mallorca,,,,120,,181,39,896038,,,2014,"224,77",1069,"119,30","5,80%","5,43%",,,"200,0714286","143,8571429"
2020-11-29,2,Menorca,,,,1,,6,4,93397,,,94,"100,65",50,"53,53","2,54%","2,79%",,,10,"6,714285714"
2020-11-29,3,Eivissa,,,,0,,24,8,147914,,,217,"146,71",88,"59,49","3,50%","4,06%",,,"23,57142857","15,5"
2020-11-29,4,Formentera,,,,0,,,,12111,,,5,"41,28",0,"0,00","0,00%",,,,,
2020-11-30,0,Illes_Balears,174,2,3282,151,"4,60%",205,48,1149460,2418,"210,36",2339,"203,49",1235,"107,44","5,20%","4,87%",3393,"10,44","236,7857143","167,0714286"
2020-11-30,1,Mallorca,,,,127,,176,38,896038,,,1970,"219,86",1061,"118,41","5,98%","5,35%",,,"203,9285714","140,7142857"
2020-11-30,2,Menorca,,,,6,,4,3,93397,,,84,"89,94",53,"56,75","2,59%","2,59%",,,"10,14285714",6
2020-11-30,3,Eivissa,,,,12,,25,7,147914,,,211,"142,65",81,"54,76","3,07%","3,97%",,,"22,71428571","15,07142857"
2020-11-30,4,Formentera,,,,0,,,,12111,,,5,"41,28",0,"0,00","0,00%",,,,,
